rest_name,locality,cost_for_two,rating,cuisines
Hunger Camp,JP Nagar,"1,300",4.5,"['North Indian', 'South Indian', 'Chinese', 'Seafood']"
Karavalli - The Gateway Hotel,"The Gateway Hotel, Residency Road","3,500",4.5,"['Mangalorean', 'Konkan', 'Seafood', 'Kerala']"
Brewklyn Microbrewery,Kalyan Nagar,"2,000",4.5,"['American', 'Continental', 'Pizza']"
OKI,Kammanahalli,"1,200",4.5,"['Asian', 'European', 'Italian', 'Korean', 'Malaysian', 'Thai', 'Vietnamese', 'Chinese']"
Fire Station,Electronic City,"1,200",4.5,"['Continental', 'Mexican', 'Burger', 'Desserts', 'Italian', 'Pizza', 'North Indian', 'Chinese']"
The Asian Curry House,"Mantri Square, Malleshwaram","1,000",4.5,"['Vietnamese', 'Thai', 'Burmese', 'Japanese']"
1131 Bar + Kitchen,Indiranagar,"1,500",4.5,"['Continental', 'Asian', 'Italian', 'North Indian']"
Mavalli Tiffin Room (MTR),Basavanagudi,250,4.5,['South Indian']
Café Kaffea,Vijay Nagar,600,4.5,"['Cafe', 'Continental', 'Beverages']"
The Reservoire,Koramangala 5th Block,"1,300",4.5,"['Continental', 'North Indian', 'Chinese', 'American']"
MISU,St. Marks Road,"1,700",4.5,"['Asian', 'Japanese', 'Korean', 'Indonesian', 'Malaysian', 'Singaporean']"
ASEAN - On The Edge,Barton Centre,"1,800",4.5,"['Asian', 'Thai']"
Rolls & Bowls,Brookefield,250,4.5,"['Rolls', 'Chinese']"
Feast - Sheraton Grand Bengaluru Whitefield Hotel &...,"Sheraton Grand Bengaluru, Whitefield","2,500",4.5,"['Continental', 'Asian', 'South Indian', 'North Indian']"
ANTIGRAVITY,Marathahalli,"1,500",4.5,"['Continental', 'North Indian', 'Chinese', 'BBQ']"
Melange - Radisson Blu,"Radisson Blu, Marathahalli","2,700",4.5,"['North Indian', 'Continental', 'Chinese', 'South Indian']"
Chikkanna Tiffin Room                                     ,City Market,200,4.5,['South Indian']
"Lush - Renaissance Hotel, Bengaluru","Renaissance Hotel, Race Course Road","1,200",4.5,"['North Indian', 'Continental']"
Market Table,Koramangala 5th Block,900,4.5,"['Cafe', 'Continental', 'Mediterranean', 'Beverages']"
eat.fit,HSR,500,4.5,"['Healthy Food', 'North Indian', 'Biryani', 'Continental', 'Desserts']"
Sultans of Spice,"BluPetal Hotel, Koramangala","1,300",4.5,"['North Indian', 'Mughlai', 'Salad']"
Prost Brew Pub,Koramangala 4th Block,"1,800",4.5,"['American', 'Continental', 'North Indian', 'Salad']"
Brooks and Bonds Brewery,Koramangala 5th Block,"1,600",4.5,"['Continental', 'Mediterranean', 'North Indian', 'Chinese', 'Finger Food']"
The Old Fashioned Bar,Koramangala 6th Block,"1,000",4.5,"['Finger Food', 'North Indian', 'Continental']"
Fabelle Chocolate Boutique - ITC Gardenia                                     ,ITC Gardenia,"1,250",4.5,"['Desserts', 'Ice Cream', 'Beverages']"
Hakuna Matata,JP Nagar,"1,200",4.5,"['North Indian', 'Asian', 'Seafood', 'Chinese']"
Aubree,Koramangala 6th Block,300,4.5,['Desserts']
Dyu Art Cafe,Koramangala 5th Block,800,4.5,"['Cafe', 'Italian', 'Fast Food']"
Hard Rock Cafe,St. Marks Road,"2,500",4.5,"['American', 'BBQ']"
One For The Road,"Elements Mall, Nagawara","1,300",4.5,"['Continental', 'North Indian', 'Finger Food']"
IceBreakers,Koramangala 6th Block,500,4.5,"['Desserts', 'Ice Cream']"
Choco Cheese,BTM,300,4.5,"['Desserts', 'Beverages']"
Toscano,"Forum Mall, Koramangala","1,500",4.5,"['Italian', 'Salad']"
Bonum cibum,HSR,"1,200",4.5,"['Lebanese', 'Turkish']"
Monet's Bistro,Indiranagar,600,4.5,"['Cafe', 'Beverages']"
99 Pancakes,Koramangala 5th Block,300,4.5,"['Desserts', 'Beverages', 'Cafe', 'Ice Cream']"
Bologna,Indiranagar,"1,000",4.5,['Italian']
XO Belgian Waffle,Koramangala 5th Block,400,4.5,"['Desserts', 'Beverages']"
The London Curry House - The Royale Senate Hotel,Race Course Road,"1,300",4.5,"['Pizza', 'North Indian', 'Modern Indian']"
Arbor Brewing Company,Brigade Road,"2,000",4.5,"['American', 'Continental']"
Shakes Theory                                     ,Jayanagar,300,4.5,"['Beverages', 'Sandwich']"
Olive Bar And Kitchen,Richmond Road,"1,800",4.5,"['Mediterranean', 'European', 'Salad']"
Opus Food Stories,"OPUS, Sarjapur Road","1,800",4.5,"['Goan', 'Asian', 'North Indian', 'European', 'Continental']"
Big Wong XL,Koramangala 5th Block,"1,400",4.5,"['Chinese', 'Sushi', 'Asian', 'Thai']"
The Terrace at Gilly's Redefined,"Gilly's Redefined, Koramangala 4th Block","1,400",4.5,"['Continental', 'Finger Food', 'Asian', 'North Indian']"
Pin Me Down,BTM,800,4.5,"['Continental', 'Mexican', 'Chinese', 'North Indian']"
Pasta Street,Indiranagar,"1,300",4.5,"['Italian', 'Pizza', 'Salad']"
Mooch Marod,Whitefield,350,4.5,['North Indian']
Nakkshatra,Marathahalli,900,4.5,"['North Indian', 'Chinese']"
Bengaluru Cafe                                     ,Jayanagar,150,4.5,['South Indian']
Oh! Calcutta,Church Street,"1,200",4.4,"['Bengali', 'Seafood']"
A Hole Lotta Love Cafe,Koramangala 5th Block,600,4.4,"['Cafe', 'American', 'Burger', 'Sandwich', 'Beverages']"
S N Refreshments                                     ,JP Nagar,100,4.4,['South Indian']
Ssaffron - Shangri-La Hotel,"Shangri-La Hotel, Vasanth Nagar","3,000",4.4,['North Indian']
Punjab Bistro,Koramangala 7th Block,"1,500",4.4,['North Indian']
Salvadores,MG Road,"2,000",4.4,"['Mediterranean', 'Continental', 'French', 'Italian']"
Cirkus,HSR,"1,400",4.4,"['North Indian', 'Continental', 'Fast Food', 'Beverages', 'Pizza']"
Sri Laxmi Venkateshwara Coffee Bar                                     ,Banashankari,100,4.4,['South Indian']
Hae Kum Gang,Brigade Road,"1,100",4.4,"['Korean', 'Chinese', 'Japanese']"
Bubblewrap Waffle Co.,Jayanagar,400,4.4,"['Desserts', 'Beverages']"
Vidyarthi Bhavan,Basavanagudi,150,4.4,['South Indian']
Fava,UB City,"1,200",4.4,"['Healthy Food', 'Mediterranean', 'Desserts', 'Italian', 'Pizza', 'Salad', 'Kebab']"
Le Arabia,Basaveshwara Nagar,800,4.4,"['North Indian', 'Mughlai']"
Phobidden Fruit,Indiranagar,"1,100",4.4,"['Vietnamese', 'Salad']"
Blue Ginger - The Taj West End,"The Taj West End, Race Course Road","3,200",4.4,['Vietnamese']
Dhuaan,Koramangala 5th Block,800,4.4,"['Cafe', 'Continental']"
Siddiqu Kabab Center                                     ,Richmond Road,250,4.4,"['Kebab', 'Rolls']"
The Creek - The Den Bengaluru,"The Den, Whitefield","2,000",4.4,"['North Indian', 'Continental', 'Chinese']"
Mamagoto,Indiranagar,"1,600",4.4,"['Asian', 'Thai', 'Chinese', 'BBQ', 'Momos']"
Ging - Royal Orchid Central,"Royal Orchid Central, MG Road","2,000",4.4,['Asian']
The Konkan - Seafood Restaurant                                     ,St. Marks Road,850,4.4,"['Seafood', 'Konkan', 'Mangalorean']"
Taiki,Indiranagar,"1,200",4.4,"['Asian', 'Japanese', 'Korean', 'Thai', 'Sushi']"
Hype - Shangri-La Hotel,"Shangri-La Hotel, Vasanth Nagar","3,000",4.4,['Finger Food']
Chavadi,Bannerghatta Road,"1,200",4.4,"['Continental', 'North Indian', 'Pizza', 'Italian']"
Stoner,Koramangala 5th Block,500,4.4,"['Ice Cream', 'Cafe', 'Pizza', 'Burger', 'Desserts', 'Beverages']"
Poonam Sweets                                     ,Banashankari,150,4.4,['Mithai']
YORK St.,Koramangala 5th Block,900,4.4,"['Cafe', 'European', 'Continental']"
Art of Delight,Residency Road,400,4.4,"['Ice Cream', 'Desserts', 'Beverages']"
The Himalayan,Koramangala 5th Block,"1,200",4.4,['Korean']
Enerjuvate Studio & Cafe,Koramangala 4th Block,800,4.4,"['Cafe', 'Continental', 'Healthy Food', 'Sandwich', 'Pizza', 'Desserts', 'Beverages']"
The Roastery,Kalyan Nagar,500,4.4,['Cafe']
Malleshwaram Dosa Corner,Malleshwaram,120,4.4,['South Indian']
Drunkling - Sizzlers and Pub,Koramangala 5th Block,"1,000",4.4,"['Chinese', 'Continental', 'North Indian', 'Burger', 'Pizza', 'Seafood']"
Sanchez Taqueria & Cantina,Indiranagar,800,4.4,"['Mexican', 'Tex-Mex']"
Café Felix,"1 MG Road Mall, MG Road","1,700",4.4,"['American', 'Cafe', 'Continental']"
Myu Bar at Gilly's Redefined,"Gilly's Redefined, Koramangala 4th Block","1,200",4.4,"['American', 'North Indian', 'Pizza', 'Finger Food', 'Continental', 'Italian']"
Masala Klub - The Taj West End                                     ,"The Taj West End, Race Course Road","4,000",4.4,"['North Indian', 'South Indian']"
Maravanthe,Indiranagar,"1,000",4.4,"['Seafood', 'Mangalorean']"
PurpleBasil.in                                     ,Indiranagar,500,4.4,"['Healthy Food', 'Desserts']"
Yo! Chow,Marathahalli,800,4.4,"['Chinese', 'Momos']"
Matteo Coffea,Church Street,600,4.4,['Cafe']
Sattvam,Sadashiv Nagar,"1,200",4.4,"['North Indian', 'South Indian']"
Chinita Real Mexican Food,Indiranagar,"1,200",4.4,['Mexican']
Asha Tiffins,HSR,150,4.4,['South Indian']
Nuts Over Salads Cafe,Koramangala 5th Block,800,4.4,"['Cafe', 'Salad', 'Healthy Food', 'Mexican']"
Shiro,UB City,"3,000",4.4,"['Japanese', 'Asian']"
GMT - Gelateria Montecatini Terme                                     ,Lavelle Road,300,4.4,"['Desserts', 'Ice Cream']"
Jalsa Gold,"D and N Enterprises, Marathahalli","1,300",4.4,"['North Indian', 'Mughlai', 'Italian']"
Soda Bottle Opener Wala,Lavelle Road,"1,300",4.4,"['Parsi', 'North Indian']"
Shizusan Shophouse & Bar,Whitefield,"1,800",4.4,"['Asian', 'Japanese', 'Vietnamese', 'Korean', 'Chinese', 'Thai']"
Aligarh House,HSR,400,4.4,"['North Indian', 'Biryani', 'Awadhi', 'Mughlai']"
Black Deer,Rajarajeshwari Nagar,350,4.4,"['Beverages', 'Desserts']"
OPUS Club,"OPUS, Sarjapur Road","1,900",4.4,"['Continental', 'Italian', 'North Indian', 'Mexican']"
Sidewalk - The Garden Bar,Marathahalli,"1,300",4.4,"['North Indian', 'Continental', 'Chinese', 'Thai']"
Sharief Bhai,Koramangala 5th Block,700,4.4,"['Mughlai', 'Biryani']"
