rest_name,locality,cuisines,cost_for_two,rating
Milano Ice Cream                                     ,Indiranagar,"['Ice Cream', 'Desserts']",400,4.8
Mojo Pizza - 2X Toppings                                     ,Bannerghatta Road,['Pizza'],600,4.2
The Tao Terraces                                     ,"1 MG Road Mall, MG Road","['Thai', 'Japanese', 'Korean', 'Burmese', 'Chinese']","2,100",3.9
Loveshack                                     ,Domlur,"['Continental', 'Pizza', 'North Indian', 'Goan', 'Cafe']","1,600",4
Foxtrot - House of Subculture                                     ,Koramangala 3rd Block,"['Cafe', 'American', 'Asian', 'North Indian']","1,000",4.4
Rasta Cafe                                     ,Mysore Road,"['Cafe', 'Continental']","1,000",3.8
Lono                                     ,Indiranagar,"['Continental', 'Modern Indian']","1,500",4.2
Barbecoa                                     ,"D and N Enterprises, Marathahalli","['North Indian', 'Continental', 'Chettinad', 'Andhra', 'Bengali']","1,000",4.3
Little Italy                                     ,Indiranagar,"['Italian', 'Pizza', 'Mexican']","1,400",4.2
Mani's Dum Biryani                                     ,Bellandur,"['Biryani', 'Andhra']",750,4
Alchemy - The Chancery Pavilion                                     ,"The Chancery Pavilion, Residency Road",['Modern Indian'],"2,000",4.3
Shift                                     ,HSR,"['Finger Food', 'Continental', 'North Indian']","1,500",4.1
Kapoor's Cafe                                     ,Whitefield,['North Indian'],800,4.2
Fusion Theory                                     ,Jayanagar,"['Continental', 'Biryani', 'Desserts', 'Italian', 'North Indian', 'Chinese', 'Modern Indian', 'Asian']",700,4.1
Taco Bell                                     ,Koramangala 6th Block,"['Mexican', 'American', 'Fast Food']",600,4.1
Fattoush                                     ,Bannerghatta Road,"['Arabian', 'Biryani', 'Chinese', 'Middle Eastern', 'Fast Food', 'North Indian', 'Mughlai', 'Seafood']","1,000",4.1
"3B's - Buddies, Bar & Barbecues                                     ",Marathahalli,"['North Indian', 'Mediterranean', 'European', 'BBQ']","1,100",4.5
Brewklyn Microbrewery                                     ,Kalyan Nagar,"['American', 'Continental', 'Pizza']","2,000",4.5
Chin Lung Resto Bar                                     ,Residency Road,"['North Indian', 'Chinese', 'Fast Food']","1,000",4
Om Made Cafe                                     ,Koramangala 5th Block,"['Cafe', 'Continental', 'European', 'Juices']","1,300",4.1
Nasi And Mee                                     ,Koramangala 4th Block,"['Malaysian', 'Thai', 'Singaporean', 'Asian', 'Chinese', 'Momos']","1,000",4.4
Chili's American Grill & Bar                                     ,Bellandur,"['American', 'Tex-Mex', 'Burger', 'BBQ']","1,800",4.6
Punjab Grill                                     ,Whitefield,['North Indian'],"2,000",4.8
Aroma's Hyderabad House                                     ,Nagawara,"['Mughlai', 'Biryani', 'North Indian']",800,4.2
Leon Grill                                     ,Marathahalli,"['Turkish', 'Arabian', 'Fast Food', 'Salad', 'Healthy Food', 'Desserts']",450,4.1
Lavonne                                     ,Indiranagar,"['Cafe', 'Desserts']",800,4.4
Gramin                                     ,Koramangala 7th Block,['North Indian'],600,4.3
Chapter One Bar | Maiin                                     ,New BEL Road,"['Continental', 'Italian', 'North Indian']","1,400",4.2
The Irish House                                     ,Bellandur,"['European', 'American']","1,700",4.2
Le Arabia                                     ,JP Nagar,"['North Indian', 'Mughlai']",600,4.2
Foxtrot                                     ,Marathahalli,"['North Indian', 'Chinese', 'Continental', 'Momos']","1,200",4.4
B-hive                                     ,Koramangala 1st Block,"['Finger Food', 'North Indian']","1,200",4.3
Salt - Indian Restaurant - Bar & Grill                                     ,"VR Bengaluru, Whitefield",['North Indian'],"1,500",4.4
Punjab Grill                                     ,"Orion Mall, Malleshwaram","['North Indian', 'Mughlai']","2,000",4.9
1522 - The Pub                                     ,New BEL Road,"['Chinese', 'Continental', 'North Indian']","1,400",4.3
Roots                                     ,Koramangala 1st Block,"['North Indian', 'South Indian', 'Chinese', 'Continental', 'Mangalorean']","1,200",4.6
JW Kitchen - JW Marriott Bengaluru                                     ,"JW Marriott Bengaluru, Lavelle Road","['North Indian', 'Continental', 'Italian']","2,200",4.4
Baar Union                                     ,HSR,"['Continental', 'Finger Food', 'Asian', 'Chinese']",850,4.6
Belgian Waffle Factory                                      ,Brigade Road,['Desserts'],400,4.9
Mumbai Tiffin                                     ,HSR,['North Indian'],400,4.4
Russh Gastropub                                     ,Church Street,"['Continental', 'Italian', 'Burger']","1,100",4.2
Go Native                                      ,Jayanagar,"['Healthy Food', 'Cafe', 'Beverages']",800,4.3
Dr. Sheesha                                     ,JP Nagar,"['Cafe', 'Chinese', 'Continental', 'Italian']",800,4.2
Mooch Marod                                     ,Whitefield,['North Indian'],350,4.5
1Q1                                     ,Infantry Road,"['Asian', 'Japanese', 'Thai', 'Malaysian', 'Vietnamese', 'Korean', 'Chinese']","2,500",4.3
By The Peepal                                     ,JP Nagar,"['Finger Food', 'Continental', 'Italian', 'North Indian']","1,500",                                         NEW                                     
A Hole Lotta Love Cafe                                     ,Koramangala 5th Block,"['Cafe', 'American', 'Burger', 'Sandwich', 'Beverages']",600,4.4
Oh! Calcutta                                     ,Church Street,"['Bengali', 'Seafood']","1,200",4.4
Punjabi by Nature 2.0                                     ,"Ascendas Park Square, Whitefield",['North Indian'],"1,600",4.2
Tippler                                     ,Indiranagar,"['Russian', 'Continental', 'North Indian']","1,300",4.2
Cirkus                                     ,HSR,"['North Indian', 'Continental', 'Fast Food', 'Beverages', 'Pizza']","1,400",4.4
Sanchez                                     ,UB City,"['Mexican', 'Tex-Mex']","1,500",4.3
Punjab Bistro                                     ,Koramangala 7th Block,['North Indian'],"1,500",4.4
Kitchens@HSR                                     ,HSR,"['Biryani', 'Kerala', 'Mughlai', 'Street Food', 'North Indian', 'Chinese', 'South Indian', 'Andhra']",200,3.3
"Lush - Renaissance Hotel, Bengaluru                                     ","Renaissance Hotel, Race Course Road","['North Indian', 'Continental']","1,200",4.5
Bologna                                     ,Indiranagar,['Italian'],"1,000",4.5
Wall Street 657                                     ,Indiranagar,"['Finger Food', 'Continental']","1,200",4.1
Vidyarthi Bhavan                                     ,Basavanagudi,['South Indian'],150,4.4
Zaitoon                                     ,JP Nagar,"['BBQ', 'Arabian', 'Chinese', 'North Indian', 'Desserts']","1,000",4.1
Mavalli Tiffin Room (MTR)                                     ,Basavanagudi,['South Indian'],250,4.5
Public - The Rooftop Bar And Kitchen                                     ,Bannerghatta Road,"['North Indian', 'South Indian', 'Andhra', 'Chinese']","1,000",4.3
Fava                                     ,UB City,"['Healthy Food', 'Mediterranean', 'Desserts', 'Italian', 'Pizza', 'Salad', 'Kebab']","1,200",4.4
Happy Brew                                     ,Koramangala 5th Block,"['Continental', 'American', 'Chinese', 'BBQ', 'Salad']","1,000",4
Phobidden Fruit                                     ,Indiranagar,"['Vietnamese', 'Salad']","1,100",4.4
Hyderabadi Spice                                     ,Electronic City,"['Biryani', 'North Indian']",600,4.1
Sixth Avenue Cafe And Patisserie                                     ,Koramangala 5th Block,"['Cafe', 'Italian', 'Desserts']",600,4.5
Imperio Restaurant                                     ,Whitefield,"['North Indian', 'Arabian', 'Mughlai', 'Biryani', 'Seafood', 'Beverages']",700,4.3
Asha Tiffins                                     ,HSR,['South Indian'],150,4.4
Dunkin' Donuts                                     ,Brigade Road,"['Desserts', 'Cafe', 'Beverages', 'Burger', 'Fast Food']",550,4
Sattvam                                     ,Sadashiv Nagar,"['North Indian', 'South Indian']","1,200",4.4
TherPUP - a Dog Cafe                                     ,Whitefield,['Cafe'],700,4.2
Biriyani Zone                                     ,Whitefield,"['Biryani', 'North Indian', 'Chinese', 'Seafood']",800,4
Thai Chy                                     ,Indiranagar,"['Thai', 'Asian', 'Indonesian']","1,200",4.3
Fly Dining                                     ,Nagawara,"['Continental', 'North Indian']","6,000",4
Yo! Chow                                     ,Marathahalli,"['Chinese', 'Momos']",800,4.4
Barebones - The Balcony Bar                                     ,Indiranagar,"['Chinese', 'Continental', 'Finger Food', 'Italian']","1,500",4.2
Maravanthe                                     ,Indiranagar,"['Seafood', 'Mangalorean']","1,000",4.4
Rural Blues                                     ,Sarjapur Road,"['European', 'Mediterranean', 'Asian', 'North Indian', 'South Indian', 'Momos']","1,300",4.3
What's In A Name                                     ,Koramangala 5th Block,"['Finger Food', 'Asian', 'European', 'Italian']","1,200",4.1
Bhartiya Jalpan                                     ,Indiranagar,"['North Indian', 'Street Food']",700,4.1
Kesar Sweet Shop and Fast Food                                     ,Brookefield,"['North Indian', 'South Indian', 'Chinese', 'Street Food', 'Mithai']",500,4.1
Plan B                                     ,Indiranagar,"['Continental', 'BBQ', 'Steak']","1,100",4.1
Karama Restaurant                                     ,Koramangala 5th Block,"['Arabian', 'North Indian', 'Beverages']",750,4.1
Barbecue by Punjab Grill                                     ,"Mantri Square, Malleshwaram",['BBQ'],"1,300",4.8
Myu Bar at Gilly's Redefined                                     ,"Gilly's Redefined, Koramangala 4th Block","['American', 'North Indian', 'Pizza', 'Finger Food', 'Continental', 'Italian']","1,200",4.4
Café Felix                                     ,"1 MG Road Mall, MG Road","['American', 'Cafe', 'Continental']","1,700",4.4
Sanchez Taqueria & Cantina                                     ,Indiranagar,"['Mexican', 'Tex-Mex']",800,4.4
Oye Amritsar                                     ,Indiranagar,['North Indian'],600,3.9
Chutney Chang                                     ,Church Street,"['North Indian', 'Chinese', 'BBQ']","1,500",4.2
The Teal Door Cafe                                     ,Indiranagar,"['Cafe', 'Continental']",800,4.2
