rest_name,locality,cuisines,cost_for_two,rating
Lassi Like                                     ,Yelahanka,"['Beverages', 'Juices', 'Sandwich']",200,3.3
Hotel Nisarga Restaurant                                     ,Whitefield,"['Chinese', 'North Indian']",300,3.2
Royal Restaurant                                     ,Shivajinagar,"['North Indian', 'Chinese']",200,3.2
Cafe of Joy                                     ,Whitefield,['Continental'],600,3.7
Venkata Padmavathi Mess                                     ,Indiranagar,"['Andhra', 'Chinese']",200,                                         NEW                                     
Opel Lounge                                     ,Hotel Krishinton - Yeshwantpur,"['Finger Food', 'Chinese', 'North Indian']",700,3.2
SHA- E- DARBAR                                     ,Yelahanka,"['North Indian', 'Chinese']",500,2.9
Pallavi Bar & Restaurant                                     ,Mysore Road,"['North Indian', 'South Indian', 'Chinese']",550,                                         NEW                                     
Sri Renuka Tiffanies                                     ,Mysore Road,['South Indian'],100,3.6
Les Fiesta Cafe                                     ,Kanakapura Road,"['Cafe', 'North Indian', 'Chinese']",300,                                         NEW                                     
Nirvana Restaurant                                     ,Mysore Road,"['South Indian', 'North Indian', 'Chinese']",300,3.4
Green County Family Restaurant                                     ,Mysore Road,"['South Indian', 'North Indian', 'Chinese']",800,3.4
The Magic Spice                                     ,Nagarbhavi,"['North Indian', 'South Indian', 'Chinese']",400,                                         NEW                                     
Redice @ Wonderla Resort                                     ,Mysore Road,"['Italian', 'North Indian', 'Chinese']","1,700",3.4
Aahara Vihar                                     ,Malleshwaram,"['South Indian', 'North Indian', 'Chinese']",300,3.5
Nisarga                                     ,Mysore Road,"['North Indian', 'South Indian', 'Chinese']",450,2.9
Hotel Kastoori                                     ,Mysore Road,"['North Indian', 'South Indian', 'Chinese']",400,3
Club Magnolia                                     ,Mysore Road,"['North Indian', 'Biryani', 'Chinese']",600,3.4
Grubfit                                     ,New BEL Road,"['Chinese', 'Italian', 'Pizza']",250,                                         NEW                                     
Nainu's Chapathi Box                                     ,Wilson Garden,['North Indian'],100,                                         NEW                                     
North Indian Mess                                     ,JP Nagar,"['North Indian', 'Rajasthani']",300,                                         -                                     
Mallappar's Best Bakery                                     ,Kengeri,"['Bakery', 'Fast Food']",200,3.4
Flavours Of Hindustan                                     ,Marathahalli,"['North Indian', 'Chinese', 'Biryani']",300,                                         NEW                                     
Moms Flavor                                     ,Jayanagar,"['North Indian', 'Chinese']",400,                                         NEW                                     
The Big O Bakes                                     ,Banashankari,"['Bakery', 'Desserts']",300,4
Aroma Bakery and Sweets                                     ,Yelahanka,"['Bakery', 'Fast Food']",200,3.4
Natural Kulfi & Ice Creams                                     ,Richmond Road,['Ice Cream'],150,                                         NEW                                     
Nammoor Donne Biryani                                     ,Bannerghatta Road,"['Biryani', 'South Indian', 'Fast Food']",400,                                         NEW                                     
Muscle Alchemist - The Diet Cafe                                     ,Rajarajeshwari Nagar,['Cafe'],300,                                         NEW                                     
Golden Taj                                     ,HBR Layout,"['North Indian', 'Biryani', 'Afghan']",600,                                         NEW                                     
Melting Cakes                                     ,Sarjapur Road,['Bakery'],600,                                         -                                     
UBM Groups- Health to Enjoy Wealth                                     ,Yelahanka,['Healthy Food'],400,                                         -                                     
Apurva Veg                                     ,Jalahalli,"['South Indian', 'North Indian']",300,                                         -                                     
Nagli Veg & Non Veg                                     ,Old Airport Road,['North Indian'],150,                                         NEW                                     
Gowdru Badota                                     ,Kanakapura Road,['Biryani'],200,                                         NEW                                     
HunGrilla                                     ,Kanakapura Road,['Cafe'],450,3.2
Spice Resto                                     ,Bommanahalli,"['Kerala', 'North Indian', 'Chinese']",400,3.2
ModifiedTea                                     ,New BEL Road,['Tea'],100,                                         NEW                                     
Two States                                     ,BTM,"['North Indian', 'South Indian', 'Chinese', 'Street Food']",250,3.5
Sunehri                                     ,"Woodlands Hotel, Richmond Road",['South Indian'],500,3.8
Tarama Kolkata Fast Food                                     ,Yeshwantpur,"['Street Food', 'Fast Food']",250,3.6
Grand Gowda's Donne Biriyani                                     ,Majestic,"['Biryani', 'North Indian', 'Chinese']",300,                                         NEW                                     
Grand Juice World                                     ,Vasanth Nagar,"['Beverages', 'Juices', 'Fast Food']",150,                                         NEW                                     
Vi Ra's Bar and Restaurant                                     ,Banashankari,"['South Indian', 'North Indian', 'Chinese']",800,3.4
Heavens Gate Dhaba                                     ,Kanakapura Road,"['Chinese', 'North Indian']",400,3.1
Maria Restaurant                                     ,Jakkur,['South Indian'],150,3.5
The Green House Family Restaurant                                     ,Majestic,"['North Indian', 'Chinese', 'Seafood', 'Biryani']",700,3.3
Deccan Spice                                     ,JP Nagar,"['North Indian', 'South Indian', 'Biryani']",750,3.5
Sasuraal                                     ,Nagarbhavi,"['North Indian', 'Chinese', 'Fast Food']","1,000",3.2
Sri Sagar                                     ,Mysore Road,"['North Indian', 'South Indian', 'Chinese']",450,3.6
Mom's Rasoi                                     ,Malleshwaram,"['South Indian', 'Biryani']",300,3.5
Tomba Kitchens                                     ,Ejipura,['North Eastern'],300,                                         NEW                                     
Mother's  Kitchen 5                                     ,Banaswadi,"['North Indian', 'South Indian', 'Chinese']",300,                                         NEW                                     
Hotel Lazzat                                     ,Peenya,"['North Indian', 'Chinese']",300,3.2
More Lassi                                     ,Electronic City,['Beverages'],200,                                         NEW                                     
Toffee's Twangle                                     ,Jalahalli,['Fast Food'],350,3.5
Tejaswini Bar and Restaurant                                     ,Kanakapura Road,"['North Indian', 'South Indian', 'Chinese']",600,3.4
Hungry Bowl                                     ,Koramangala 5th Block,"['North Indian', 'Chinese', 'Italian']",500,3.6
Kolkatta Famous Kati Roll                                     ,CV Raman Nagar,"['Fast Food', 'Rolls']",200,3.6
Shri Durgaparmeshwari Chats                                     ,Yelahanka,['Street Food'],150,3.2
Kebab Ganj                                     ,Koramangala 6th Block,"['Kebab', 'Rolls']",300,3.4
Hungry Heads                                     ,Koramangala 6th Block,"['Biryani', 'Hyderabadi']",400,                                         NEW                                     
HYD 801                                     ,Indiranagar,"['North Indian', 'Chinese']",250,                                         NEW                                     
Ladles                                     ,Nagarbhavi,"['North Indian', 'Chinese']",350,3.5
Navab's                                     ,BTM,['Mughlai'],600,                                         -                                     
The Park East 01                                     ,Race Course Road,"['North Indian', 'Chinese']",750,3.8
Kolkata Famous Kati Roll                                     ,Yelahanka,['Rolls'],200,3.3
Roll & Roll                                     ,Yelahanka,"['Fast Food', 'Rolls']",150,3.6
Juice Hub                                     ,Shivajinagar,"['Beverages', 'Fast Food']",250,                                         -                                     
Punjabi Rasoi                                     ,New BEL Road,['North Indian'],250,                                         NEW                                     
Organic Play                                     ,Koramangala 1st Block,['Beverages'],150,                                         NEW                                     
Bill Board Cafe                                     ,Yelahanka,"['Cafe', 'Chinese', 'Beverages']",350,3.4
Belgian Chocolate                                     ,Sahakara Nagar,['Beverages'],200,                                         -                                     
Paratha eNVy                                     ,Jeevan Bhima Nagar,['North Indian'],300,                                         NEW                                     
Mangaluru Cafe                                     ,Vijay Nagar,"['Chinese', 'South Indian']",300,                                         NEW                                     
@Italy                                     ,"Krishna Kuteer, HSR","['Italian', 'Pizza']",700,3.5
Eten                                     ,JP Nagar,"['Salad', 'Healthy Food']",600,3.8
Food Junction                                     ,Whitefield,"['South Indian', 'Chinese', 'Street Food']",300,                                         NEW                                     
Cafe Robusta                                     ,Yelahanka,"['Beverages', 'Juices', 'Fast Food']",200,3.5
Ambur Hot Dum Biryani                                     ,Shanti Nagar,"['Biryani', 'Kebab']",250,3.1
Rayalaseema Abhiruchulu                                     ,BTM,['Andhra'],250,                                         NEW                                     
Panchami Sagar                                     ,Yelahanka,"['South Indian', 'Chinese']",300,3.5
Kebabs                                     ,RT Nagar,"['Arabian', 'North Indian']",300,                                         NEW                                     
Mathsyadarshini                                     ,Yelahanka,"['South Indian', 'Street Food']",150,3.5
Tea  & Cafe                                     ,Yelahanka,"['Fast Food', 'Beverages']",200,                                         -                                     
Tirumala Dreams (AC Family Restaurant)                                     ,Yelahanka,"['Chinese', 'North Indian']",300,                                         -                                     
Hotboxit                                     ,Banashankari,"['North Indian', 'Continental', 'Italian']",400,3.8
Vyshali Food Corner                                     ,Shanti Nagar,"['North Indian', 'Chinese', 'South Indian']",400,3.6
Sree Ganesh Fruit Juice Centre                                     ,Shanti Nagar,['Juices'],100,                                         -                                     
Just Juice                                     ,Shanti Nagar,"['Juices', 'Fast Food']",200,3.7
Bismilla Kabab & Biryani Centre                                     ,Kalyan Nagar,"['North Indian', 'Chinese']",300,3.2
Purple Flame                                     ,Rajarajeshwari Nagar,"['North Indian', 'Biryani']",250,                                         NEW                                     
Hotboxit                                     ,Banashankari,"['North Indian', 'Continental', 'Italian']",400,3.8
Vyshali Food Corner                                     ,Shanti Nagar,"['North Indian', 'Chinese', 'South Indian']",400,3.6
Sree Ganesh Fruit Juice Centre                                     ,Shanti Nagar,['Juices'],100,                                         -                                     
Just Juice                                     ,Shanti Nagar,"['Juices', 'Fast Food']",200,3.7
Bismilla Kabab & Biryani Centre                                     ,Kalyan Nagar,"['North Indian', 'Chinese']",300,3.2
Purple Flame                                     ,Rajarajeshwari Nagar,"['North Indian', 'Biryani']",250,                                         NEW                                     
Parco Bakers                                     ,Marathahalli,['Bakery'],250,                                         NEW                                     
Kanti Sweet Oven Fresh                                     ,RT Nagar,['Mithai'],500,                                         NEW                                     
Bengal Biriyani                                     ,New BEL Road,['Biryani'],150,2.9
Food Singh                                     ,Koramangala 4th Block,['North Indian'],500,                                         -                                     
Mayura Bakery And Sweets                                     ,Marathahalli,"['Bakery', 'Mithai', 'Fast Food']",500,                                         NEW                                     
De3 - The Eatery                                     ,Kalyan Nagar,['Fast Food'],250,3.1
Atithis Juice and Chats                                     ,Malleshwaram,"['Juices', 'Street Food']",250,3.7
Doner Bel                                     ,New BEL Road,"['Turkish', 'Chinese']",400,3.5
The Yummy Tummy                                     ,Bannerghatta Road,"['North Indian', 'Street Food']",200,3.5
Paakam                                     ,Marathahalli,['South Indian'],150,3.7
Chamarajpet Non Veg Restaurant                                     ,Basavanagudi,"['South Indian', 'Biryani']",200,3.6
Cool Break                                     ,Electronic City,"['Desserts', 'Fast Food']",150,3.4
Cafe Hush                                     ,BTM,"['Cafe', 'Fast Food']",500,3.6
Cafe Republic                                     ,Yelahanka,"['Cafe', 'Fast Food']",500,3.6
Zamorin's Mappillah Biryani                                     ,Hennur,['Biryani'],400,                                         NEW                                     
Hotel Karavali                                     ,Vijay Nagar,"['South Indian', 'Chinese']",400,3.6
Brahmin Juice Bars                                     ,Koramangala 6th Block,"['Beverages', 'Juices', 'Street Food']",150,                                         -                                     
Atlas                                     ,Race Course Road,"['Continental', 'North Indian', 'Chinese', 'Italian']","1,500",                                         NEW                                     
Coastal Land Kitchen                                     ,Jakkur,"['Konkan', 'Mangalorean', 'South Indian']",500,3.4
Geetha Cafe                                     ,Bommanahalli,['South Indian'],200,3
By/2 Coffee                                     ,Yelahanka,['South Indian'],100,3.2
FOODYWOOD                                     ,Electronic City,"['Bengali', 'Chinese', 'Fast Food', 'North Indian']",300,                                         NEW                                     
Just Bake                                     ,Bannerghatta Road,['Bakery'],400,                                         -                                     
3rd Innings                                     ,Electronic City,"['Burger', 'Italian', 'North Indian', 'Chinese']","1,000",3
SK Tiffins Corner                                     ,Banaswadi,['South Indian'],100,3.3
Midtown Cafe                                     ,Yelahanka,"['Cafe', 'Continental', 'Italian', 'Beverages']",450,3.3
Outdoor Food Truck                                     ,Yelahanka,"['Continental', 'Fast Food', 'American']",300,3.7
Kappo Cafe                                     ,Yelahanka,"['Fast Food', 'Beverages']",150,3.3
kebabs And kurries                                     ,Jakkur,"['North Indian', 'South Indian', 'Biryani', 'Kebab']",500,3.2
Mama's Marvellous Muffins                                     ,Bannerghatta Road,['Bakery'],150,                                         NEW                                     
Iyengar Bakery                                     ,Kumaraswamy Layout,['Bakery'],100,3.6
Amarnath Chat                                     ,Jayanagar,"['Street Food', 'Ice Cream']",250,                                         NEW                                     
Sri Balaji Hotel                                     ,KR Puram,"['South Indian', 'North Indian', 'Chinese']",500,3.3
Fit Food Company                                     ,Seshadripuram,['Healthy Food'],500,                                         NEW                                     
Bharathi Refreshments                                     ,Wilson Garden,['South Indian'],150,3.8
Atithi Biryani Corner                                     ,JP Nagar,"['Biryani', 'South Indian']",200,3.3
Five Star Chicken                                     ,Whitefield,['Fast Food'],300,3.5
Sharmaji Pure Veg                                     ,"Global Village, Mysore Road",['North Indian'],300,                                         -                                     
Flamin Grill                                     ,Bellandur,"['Lebanese', 'Turkish', 'BBQ', 'Burger']",600,3.5
LSD Cafe                                     ,Banashankari,"['Chinese', 'Continental', 'Italian', 'North Indian']",700,2.9
7-Star Ambur Dum Biriyani                                     ,Yeshwantpur,['Biryani'],200,3
Malabar Restaurant                                     ,Yelahanka,"['Kerala', 'Chinese']",200,3.5
Karavali Lunch Home                                     ,Shanti Nagar,"['Biryani', 'South Indian', 'Mangalorean']",300,                                         -                                     
MK Green Chilly's                                     ,Yelahanka,['Andhra'],200,3.4
R S Lunch Home                                     ,Shanti Nagar,['South Indian'],300,3.4
Family Home Made Food Restaurant                                     ,Kumaraswamy Layout,"['North Indian', 'South Indian', 'Chinese']",100,3.3
Burger Palace                                     ,Koramangala 7th Block,"['Burger', 'Fast Food']",200,                                         NEW                                     
The Pavillion                                     ,"Quality Inn - Shravanthi,","['North Indian', 'Continental', 'South Indian', 'Chinese']","1,000",2.8
Aangan - Ramanashree California                                     ,Ramanashree California,['North Indian'],800,3.1
A Today Thick Shakes                                     ,Koramangala 5th Block,['Beverages'],200,3.2
Aami Kolkata                                     ,Bannerghatta Road,['Bengali'],600,3.3
A1 Ambur Dum Biryani And Parota Centre                                     ,Basaveshwara Nagar,['Biryani'],300,3.2
Burger Palace                                     ,Koramangala 7th Block,"['Burger', 'Fast Food']",200,                                         NEW                                     
The Pavillion                                     ,"Quality Inn - Shravanthi,","['North Indian', 'Continental', 'South Indian', 'Chinese']","1,000",2.8
Aangan - Ramanashree California                                     ,Ramanashree California,['North Indian'],800,3.1
A Today Thick Shakes                                     ,Koramangala 5th Block,['Beverages'],200,3.2
Aami Kolkata                                     ,Bannerghatta Road,['Bengali'],600,3.3
A1 Ambur Dum Biryani And Parota Centre                                     ,Basaveshwara Nagar,['Biryani'],300,3.2
38 Sugar Lane                                     ,Bellandur,"['Bakery', 'Desserts']",850,                                         -                                     
Midnight Pizza Slurpp                                     ,Koramangala 4th Block,"['Italian', 'Pizza']",700,3.7
FNC Seafood                                     ,"Forum Mall, Koramangala","['Seafood', 'Fast Food']",400,3.8
The Maori - Aurick Boutique Hotel                                     ,Aurick Boutique Hotel,"['Chinese', 'North Indian']","1,000",3.5
Daily Bite                                     ,Richmond Road,"['Desserts', 'Fast Food']",250,3.5
Bhagini Kitchen And Bar                                     ,Marathahalli,"['Andhra', 'South Indian', 'Chinese', 'North Indian']","1,100",3.8
Fashion Knack Cafe                                     ,Whitefield,"['Cafe', 'Burger', 'Sandwich']",250,3.7
Bhoomika Millets                                     ,Jayanagar,['North Indian'],150,                                         NEW                                     
Mac Fast Food                                     ,Old Airport Road,"['Fast Food', 'Chinese']",400,2.7
New Kohinoor Hotel                                     ,Commercial Street,['North Indian'],450,3.1
Shree Maruthi Sweets                                     ,Kumaraswamy Layout,"['Mithai', 'Street Food']",250,3.2
Indian's Biriyani Point                                     ,Rajajinagar,"['Biryani', 'Chinese']",200,3.3
Dad's Coffee Club                                     ,Residency Road,"['North Indian', 'South American', 'Cafe']",200,                                         -                                     
Appam Centre                                     ,JP Nagar,['Kerala'],200,3.2
Srinidhi Sagar Delux                                     ,Mysore Road,"['South Indian', 'North Indian', 'Chinese']",500,3.8
Stir Fry                                     ,Residency Road,"['Chinese', 'Momos']",500,4
Chatar Patar                                     ,Banashankari,"['Fast Food', 'Street Food']",300,3.7
New Green Leaf Restaurant                                     ,Electronic City,"['Kerala', 'North Indian', 'Chinese', 'South Indian']",600,3.6
Just Cake                                     ,Magadi Road,"['Pizza', 'Burger', 'Sandwich', 'Fast Food', 'Beverages', 'Ice Cream', 'Desserts']",500,3.2
Kadamba Classic                                     ,Mysore Road,['South Indian'],300,3.6
SSV Upahar                                     ,Jayanagar,"['South Indian', 'Chinese']",300,                                         -                                     
Basaveshwara Khanavali                                     ,Brookefield,['South Indian'],200,                                         -                                     
King Of Combos                                     ,BTM,"['Chinese', 'North Indian']",250,                                         NEW                                     
New Green Leaf Restaurant                                     ,Electronic City,"['Kerala', 'North Indian', 'Chinese', 'South Indian']",600,3.6
Just Cake                                     ,Magadi Road,"['Pizza', 'Burger', 'Sandwich', 'Fast Food', 'Beverages', 'Ice Cream', 'Desserts']",500,3.2
Kadamba Classic                                     ,Mysore Road,['South Indian'],300,3.6
SSV Upahar                                     ,Jayanagar,"['South Indian', 'Chinese']",300,                                         -                                     
Basaveshwara Khanavali                                     ,Brookefield,['South Indian'],200,                                         -                                     
King Of Combos                                     ,BTM,"['Chinese', 'North Indian']",250,                                         NEW                                     
Big Box Theory                                     ,Ejipura,"['Salad', 'Healthy Food', 'Fast Food']",550,3.6
VEERLA'S ANDHRA KITCHEN                                     ,Hennur,"['Andhra', 'South Indian', 'Chinese']",300,                                         NEW                                     
Lassi Bistro                                     ,Kumaraswamy Layout,"['Beverages', 'Desserts']",250,                                         NEW                                     
Ramdev Bhojnalaya                                     ,Electronic City,"['Rajasthani', 'Gujarati']",200,3
Naati Mane                                     ,KR Puram,"['South Indian', 'Andhra']",300,                                         NEW                                     
Punjabi Pure Veg Restaurant                                     ,Majestic,['North Indian'],500,3.2
Biriyani Katte                                     ,Magadi Road,['Biryani'],400,3.7
Verve Coffee Lounge - Howard Johnson Bengaluru                                     ,Howard Johnson Bengaluru Hebbal,['Cafe'],400,3.7
Shri Family Restaurant                                     ,Rajajinagar,"['South Indian', 'North Indian', 'Chinese', 'Seafood']",400,3.4
Cakoholic                                     ,Basavanagudi,"['Bakery', 'Desserts']",650,                                         -                                     
Funjabi                                     ,Church Street,['North Indian'],600,3.5
Radhika Sweets                                     ,Jalahalli,"['Mithai', 'Street Food']",200,3.2
Vaho Kafe & Pressery                                     ,Bannerghatta Road,"['Cafe', 'Healthy Food', 'Asian', 'Italian', 'North Indian', 'Biryani', 'Juices']",500,3.8
Apple Cafe                                     ,Marathahalli,"['Beverages', 'Fast Food']",300,3.3
Mantap Ice Cream                                     ,Majestic,['Desserts'],200,3.4
Ghee Positive                                     ,Koramangala 8th Block,"['Fast Food', 'Chinese']",200,3.8
Creamy Zone                                     ,Brookefield,"['Ice Cream', 'Juices']",100,3.3
Kushal's Kitchen                                     ,Bommanahalli,"['North Indian', 'South Indian']",650,3.3
Trofi N Treats                                     ,Rajarajeshwari Nagar,"['Fast Food', 'Rolls']",100,                                         -                                     
Namak                                     ,Nagawara,"['North Indian', 'Chinese']",650,3.1
Krusty Krab Hub                                     ,Koramangala 5th Block,"['Seafood', 'Burger']",250,                                         NEW                                     
Tea Break                                     ,Hosur Road,"['Beverages', 'Fast Food']",100,                                         -                                     
Jodhpur Jaika                                     ,Bommanahalli,"['North Indian', 'Street Food']",200,3.3
Maa Ka Dulaar                                     ,Seshadripuram,"['North Indian', 'Desserts']",250,                                         -                                     
Italia - The Park Bangalore                                     ,"The Park, MG Road",['Italian'],"2,500",3.8
Al-Arabi Restaurant                                     ,Kammanahalli,['Arabian'],500,                                         -                                     
Rotiyana                                     ,Domlur,['North Indian'],400,                                         -                                     
Star Biriyani Point                                     ,Rammurthy Nagar,['Biryani'],300,                                         -                                     
Kerala Food                                     ,Yeshwantpur,"['Kerala', 'South Indian']",300,                                         -                                     
Page 3 Multicuisine Restaurant & Bar                                     ,Residency Road,"['North Indian', 'Chinese', 'Finger Food']",800,3.6
The Breakfast & Dinner Club                                     ,HSR,"['Continental', 'North Indian', 'South Indian', 'Mangalorean']",300,                                         -                                     
Al-Baik Kabab Centre                                     ,Banaswadi,"['Biryani', 'Chinese', 'Kebab']",300,                                         -                                     
Chat Junction                                     ,JP Nagar,"['Street Food', 'Fast Food']",250,                                         -                                     
Maggie Point                                     ,Whitefield,"['North Indian', 'Chinese']",300,                                         -                                     
Hotel Atithi North Karnataka Mess                                     ,Koramangala 1st Block,['South Indian'],150,                                         -                                     
Aahar Cafe                                     ,Basavanagudi,['South Indian'],100,                                         -                                     
The White Owl - Resto Cafe                                     ,Banaswadi,"['Continental', 'Chinese']",550,                                         -                                     
Royal Dine Family Restaurant                                     ,BTM,"['Kerala', 'North Indian', 'Chinese', 'Hyderabadi', 'Arabian']",400,                                         -                                     
Amul Ice Cream                                     ,Majestic,"['Ice Cream', 'Fast Food']",100,                                         -                                     
Kerala Food Corner                                     ,Kaggadasapura,"['Kerala', 'South Indian']",300,                                         -                                     
Amma                                     ,Indiranagar,['Fast Food'],200,                                         -                                     
Star Briyani                                     ,Electronic City,"['Biryani', 'North Indian']",200,                                         -                                     
By2 Gobi Corner                                     ,Banashankari,['Fast Food'],150,                                         NEW                                     
Wadiyares                                     ,Whitefield,"['Andhra', 'North Indian', 'Biryani']",700,                                         NEW                                     
Aunty Kitchen                                     ,Electronic City,"['North Indian', 'Chinese', 'Fast Food']",700,                                         -                                     
BBQ Nation Delivery                                     ,Jalahalli,"['BBQ', 'Mughlai']",750,                                         -                                     
Vov Shawarma                                     ,Electronic City,['Fast Food'],200,3.2
House Of Candy                                     ,Whitefield,['Desserts'],200,                                         -                                     
Pan Asian                                     ,BTM,['Chinese'],500,                                         NEW                                     
Sri Murali Krishna                                     ,Bellandur,"['North Indian', 'Chinese', 'Biryani']",600,                                         NEW                                     
Give Me 5 Cafe                                     ,Indiranagar,"['Cafe', 'Healthy Food']",500,3.3
Amma's Biryani & Rice                                     ,Kammanahalli,"['Biryani', 'Fast Food']",300,                                         NEW                                     
Telugu Velugu                                     ,HSR,"['South Indian', 'Andhra']",500,                                         -                                     
House Of Candy                                     ,Whitefield,['Desserts'],200,                                         -                                     
Pan Asian                                     ,BTM,['Chinese'],500,                                         NEW                                     
Sri Murali Krishna                                     ,Bellandur,"['North Indian', 'Chinese', 'Biryani']",600,                                         NEW                                     
Give Me 5 Cafe                                     ,Indiranagar,"['Cafe', 'Healthy Food']",500,3.3
Amma's Biryani & Rice                                     ,Kammanahalli,"['Biryani', 'Fast Food']",300,                                         NEW                                     
Telugu Velugu                                     ,HSR,"['South Indian', 'Andhra']",500,                                         -                                     
Cafe Repeat                                     ,Sarjapur Road,"['North Indian', 'Fast Food']",250,3.7
Punjabi Unplugged                                     ,Bannerghatta Road,['North Indian'],500,                                         -                                     
Nawabi Zaica                                     ,Marathahalli,"['North Indian', 'Mughlai', 'Chinese']",600,3.5
Mark Kitchen                                     ,BTM,"['North Indian', 'Biryani', 'Fast Food']",500,                                         NEW                                     
Bun Town                                     ,Koramangala 5th Block,"['Cafe', 'Bakery']",500,3.8
Hashtag Kitchen                                     ,Marathahalli,"['North Indian', 'Biryani', 'Chinese']",600,3.3
Nidhi Restaurant                                     ,Nagarbhavi,"['South Indian', 'Andhra']",700,3.6
Mum’s Kitchen                                     ,Marathahalli,"['North Indian', 'South Indian']",200,3.5
Kadalu Sea Food Restaurant                                     ,Vijay Nagar,"['Seafood', 'North Indian', 'Chinese', 'Andhra', 'Biryani', 'Kebab']",500,3.7
Yumjar                                     ,Sahakara Nagar,"['Fast Food', 'Beverages', 'Desserts']",300,3.4
Hushy's Kitchen                                     ,Shanti Nagar,['Fast Food'],300,3.5
This Cafe Has No Name Cafe                                     ,Electronic City,"['Cafe', 'Beverages']",500,3.2
Eddy's Cafe                                     ,Indiranagar,"['Cafe', 'American', 'Salad', 'Continental', 'Healthy Food', 'Italian', 'Coffee', 'Desserts']",750,4.1
The Twenty Handmade Chocolates                                     ,HSR,['Desserts'],300,3.8
S S Popular Frozen Stone                                     ,Bellandur,"['Beverages', 'Ice Cream', 'Sandwich', 'Fast Food']",250,3.7
Shree Guru Raghavendra Chats Chintamani Special                                     ,Bannerghatta Road,"['Street Food', 'Fast Food']",200,3.6
Darjeeling Momo  Adda                                     ,Bannerghatta Road,"['Chinese', 'Tibetan', 'North Indian', 'Momos']",200,3.1
Le Spice Restaurant                                     ,Banaswadi,"['Arabian', 'Kerala', 'North Indian', 'Chinese', 'Beverages']",700,3.4
C Kosila Kitchen                                     ,Ejipura,['North Indian'],300,3.1
KF's Biryani's and Kababs                                     ,Koramangala 4th Block,"['Biryani', 'Kebab']",400,3.4
American Desserts                                     ,Banaswadi,"['Desserts', 'Bakery']",500,3.6
Lassi Shop                                     ,Banashankari,"['Beverages', 'Ice Cream']",200,3.5
Vijayawada Heights                                     ,Whitefield,['North Indian'],600,3
NMR Multicuisine Restaurant                                     ,Electronic City,"['North Indian', 'Chinese', 'Arabian', 'Juices']",550,3.5
Chaat Junction                                     ,Bannerghatta Road,['Street Food'],200,3.7
Rolla Rappa                                     ,HSR,"['Biryani', 'Fast Food', 'Rolls', 'Momos']",400,3.6
Grand Gowdru Hotel                                     ,Koramangala 6th Block,"['South Indian', 'North Indian', 'Chinese']",700,3.4
The Trundle                                     ,Jayanagar,"['Chinese', 'Thai', 'Continental', 'North Indian']",700,3.7
South Point Pub                                     ,Basavanagudi,"['North Indian', 'Seafood', 'Chinese']",800,3.4
Village Donne Biryani                                     ,Koramangala 5th Block,['Biryani'],300,3.3
Lluvia Bakery                                     ,Sarjapur Road,['Bakery'],350,3.4
Take EAT Easy                                     ,Sarjapur Road,['North Indian'],200,3.6
Crescent Avenue - Hotel Bangalore International                                     ,Hotel Bangalore International,"['North Indian', 'Continental', 'Chinese', 'Asian', 'Thai']","1,400",3.6
The Wok                                     ,Whitefield,"['Chinese', 'Momos']",500,2.8
The Golden Metro                                     ,"Hotel Dew Drops Hotel, Seshadripuram","['North Indian', 'Mughlai', 'Chinese', 'Continental']",800,3.6
ZOROY Luxury Chocolate                                     ,Church Street,['Desserts'],250,4
Mangalore Lunch Home                                     ,RT Nagar,"['North Indian', 'Mughlai', 'Chinese', 'Seafood', 'South Indian']",200,3.7
Sagar Fast Food                                     ,Koramangala 3rd Block,"['South Indian', 'North Indian', 'Fast Food']",300,3.9
The Chariot                                     ,Brigade Road,"['South Indian', 'North Indian', 'Chinese']",350,2.9
Rasoi Ghar                                     ,"Gopalan Arcade, Rajarajeshwari Nagar","['Biryani', 'Rolls']",300,2.9
Srinidhi Sagar                                     ,Hebbal,"['South Indian', 'North Indian', 'Chinese', 'Fast Food']",350,3.8
Karavali Kolimane                                     ,Wilson Garden,"['Mangalorean', 'Chinese', 'North Indian']",350,3.7
Chaitra Restaurant                                     ,Kalyan Nagar,"['North Indian', 'Chinese']",700,3.7
Bunt's Biriyani Palace                                     ,Banashankari,"['North Indian', 'South Indian', 'Chinese', 'Biryani', 'Seafood']",400,3
Sri Ganesh Juice Junction                                     ,Koramangala 8th Block,"['Beverages', 'Juices', 'Fast Food']",150,3.9
Naidu Military Hotel                                     ,Kammanahalli,['South Indian'],250,3.5
US Pizza                                     ,Kaggadasapura,"['Pizza', 'Italian', 'Salad']",500,2.4
Treatley                                     ,Whitefield,"['North Indian', 'Fast Food']",500,3.1
Paratha Corner                                     ,CV Raman Nagar,['North Indian'],150,3.2
Dragon Chilly                                     ,Rajarajeshwari Nagar,"['Chinese', 'North Indian']",500,3.7
Foodizo                                     ,Banashankari,"['Desserts', 'Fast Food', 'Continental']",300,3.6
Thejas Bhavan                                     ,Bannerghatta Road,"['North Indian', 'South Indian', 'Chinese']",400,3.5
Bombay Sandwich Company                                     ,Sarjapur Road,"['Sandwich', 'Beverages']",400,3.5
Indian Home Food                                     ,Uttarahalli,['South Indian'],400,3.4
Natuna Seafood House                                     ,Koramangala 5th Block,['Seafood'],450,4.1
Halli Mane                                     ,Majestic,['South Indian'],300,3.2
