rest_name,locality,cost_for_two,rating,votes,cuisines
Shetty Lunch Home,RT Nagar,500,3.6,196,"['Mangalorean', 'North Indian', 'Biryani', 'Seafood']"
Brindavan Grand,"Varthur Main Road, Whitefield",800,3.6,18,"['North Indian', 'South Indian', 'Chinese']"
The Spice Box,Old Airport Road,800,3.6,30,"['North Indian', 'South Indian']"
Shree Saraswathi Sweets Centre,Koramangala 1st Block,100,3.6,18,"['Mithai', 'Street Food']"
Tasty Corner,New BEL Road,200,3.6,13,['South Indian']
Trendz  Corner,Jayanagar,200,3.6,31,"['South Indian', 'North Indian']"
Hotel Greens,Whitefield,800,3.6,59,"['Biryani', 'Chinese', 'North Indian', 'South Indian']"
Targaryen's Kitchen,JP Nagar,600,3.6,43,"['Chinese', 'North Indian', 'Mughlai']"
TOKI Taco House,"Eat Street, Koramangala 6th Block",200,3.6,72,['Mexican']
Crave Bite,Jayanagar,400,3.6,19,"['Chinese', 'Italian', 'Fast Food', 'Momos']"
Cakes Wagon,Electronic City,600,3.6,42,"['Bakery', 'Desserts']"
Dine In,Brigade Road,400,3.6,8,"['Kerala', 'South Indian', 'North Indian', 'Chinese']"
Heavenly Desserts,Sarjapur Road,300,3.6,11,['Bakery']
Cafe Momoz,Kanakapura Road,300,3.6,39,"['Chinese', 'Momos']"
Mealsbaba,HSR,400,3.6,57,['North Indian']
Roti Land,Kengeri,250,3.6,17,"['Chinese', 'North Indian']"
Sandwichwallas,JP Nagar,200,3.6,33,['Fast Food']
Mad Over Fries,New BEL Road,350,3.6,44,"['Fast Food', 'Beverages']"
Big Bites,Jayanagar,200,3.6,21,"['Chinese', 'Fast Food']"
Sri Sankara Cafe,BTM,100,3.6,26,['South Indian']
Tastte!!,Bannerghatta Road,450,3.6,21,"['Biryani', 'North Indian', 'Chinese']"
JLT Food,Whitefield,450,3.6,23,['North Indian']
Sandhya Veg,Brigade Road,150,3.6,63,"['South Indian', 'Chinese']"
Delhi Biryani Cafe,BTM,300,3.6,16,"['North Indian', 'Biryani']"
Andal Mess,Whitefield,300,3.6,25,"['South Indian', 'North Indian']"
Thran Bakery,Kalyan Nagar,600,3.6,8,"['Bakery', 'Desserts', 'Beverages']"
Kulcha Kulture,Indiranagar,400,3.6,16,['North Indian']
Fitbakes,Jayanagar,400,3.6,13,"['Bakery', 'Healthy Food']"
Sri Yaksha Shiv Sagar,Banashankari,600,3.6,24,"['North Indian', 'Chinese']"
Abi's Cafe & Restaurant,Yelahanka,350,3.6,33,"['North Indian', 'Chinese']"
GMR Hyderabadi Birayani,Magadi Road,350,3.6,12,"['Hyderabadi', 'Chinese', 'Kebab']"
Koshy's,Richmond Road,250,3.6,54,"['Bakery', 'Fast Food']"
Desi Chinese,Kaggadasapura,400,3.6,37,"['Chinese', 'North Indian']"
Haveli,Thippasandra,300,3.6,22,"['North Indian', 'Chinese']"
Wooden Table Restaurant,Yelahanka,700,3.6,9,"['North Indian', 'South Indian']"
Hotel Shreekshetra,Sarjapur Road,300,3.6,10,"['North Indian', 'Chinese']"
Queen Pearls,Ejipura,500,3.6,25,['Pizza']
Rayan's Biryani,Marathahalli,450,3.6,26,"['Andhra', 'Biryani', 'Beverages', 'Kebab']"
Masala Secret Eat WOW,HSR,300,3.6,14,"['Street Food', 'Fast Food', 'Chinese', 'Momos']"
Grand Hotel,Old Airport Road,500,3.6,57,"['Hyderabadi', 'Biryani']"
Grill Hut,Kaggadasapura,350,3.6,86,"['Fast Food', 'Rolls']"
Planet I Bar,Basaveshwara Nagar,"1,200",3.6,23,"['Continental', 'Chinese', 'North Indian', 'Finger Food']"
Kumar's Hot Hot Chinese Food,Malleshwaram,150,3.6,15,['Chinese']
Kerala Vibes,Jeevan Bhima Nagar,500,3.6,80,['Kerala']
Swaadam Veg,BTM,300,3.6,34,"['South Indian', 'Chinese']"
ReadyBowl,Bellandur,300,3.6,76,"['Andhra', 'South Indian', 'North Indian', 'Biryani']"
Udupi Food Junction,Electronic City,250,3.6,12,"['South Indian', 'North Indian']"
Sri Maruthi Nati Style,Vijay Nagar,250,3.6,14,"['South Indian', 'North Indian']"
Veeru's The Village Restaurant,Yeshwantpur,700,3.6,22,"['South Indian', 'North Indian']"
Shree Udupi Grand,Kanakapura Road,400,3.6,20,"['South Indian', 'Chinese', 'North Indian']"
Bharanis,Domlur,600,3.6,17,"['Andhra', 'Biryani']"
Bhojanam Restaurant,Electronic City,600,3.6,197,"['Andhra', 'Biryani']"
Just Yum,Sarjapur Road,500,3.6,89,"['North Indian', 'Chinese']"
Sphyre - Gateway Hotel,"The Gateway Hotel, Residency Road","1,700",3.6,46,['Finger Food']
Sri Byrava Biriyani,Magadi Road,200,3.6,65,"['Biryani', 'North Indian']"
Tiki Village,Jalahalli,600,3.6,263,['Cafe']
Gowdru Mane,New BEL Road,300,3.6,26,"['Andhra', 'North Indian', 'Chinese']"
Balle Balle Dhaba,Kalyan Nagar,500,3.6,199,"['North Indian', 'Chinese']"
Samosa Express,HSR,200,3.6,23,['Street Food']
Taste Of Bengal - Rolls & Lassi Center,Hennur,200,3.6,13,"['Bengali', 'North Indian', 'Beverages', 'Rolls']"
Malabar Restaurant,Electronic City,400,3.6,20,"['Kerala', 'Fast Food', 'Beverages']"
C Sharp Kitchen,Church Street,600,3.6,52,"['North Indian', 'Chinese', 'European']"
Status,Old Airport Road,550,3.6,120,"['Chinese', 'North Indian']"
Karavali Deluxe,Yeshwantpur,450,3.6,24,"['North Indian', 'Chinese']"
Sri Krishna Nandagokula,International Airport,600,3.6,13,"['North Indian', 'South Indian', 'Chinese']"
Thamboola,Banashankari,800,3.6,152,"['North Indian', 'Chinese', 'Continental']"
The Dining Table - Sahar Pavillion,"The Sahar Pavilion, Electronic City","1,500",3.6,78,"['Chinese', 'Continental', 'North Indian', 'Pizza', 'South Indian']"
Hotel Sai Renaissance,Whitefield,450,3.6,33,"['South Indian', 'North Indian', 'Chinese']"
New Udupi Garden,Old Airport Road,300,3.6,15,"['South Indian', 'North Indian', 'Chinese']"
Techies Kitchen,"ITPL Main Road, Whitefield",400,3.6,199,"['Biryani', 'North Indian']"
Dal-icious,Kumaraswamy Layout,250,3.6,25,"['North Indian', 'Chinese']"
Kolkata Famous Kati Roll,Whitefield,150,3.6,9,"['Fast Food', 'Rolls']"
Eat & Drink,New BEL Road,300,3.6,15,"['Fast Food', 'Chinese', 'Beverages']"
Ross Kitchen,BTM,400,3.6,25,"['North Indian', 'Chinese']"
Checkered Bar - MGM Mark,MGM Mark Whitefield,"1,300",3.6,20,"['North Indian', 'Continental', 'Chinese']"
China Garden,Electronic City,300,3.6,26,"['Chinese', 'North Indian']"
New Shanthi Sagar,RT Nagar,450,3.6,184,"['North Indian', 'South Indian', 'Fast Food']"
Urbans,Yelahanka,700,3.6,157,"['Seafood', 'North Indian', 'Chinese', 'Mughlai', 'Beverages']"
Luo Han,HSR,700,3.6,790,"['Chinese', 'Thai']"
Mast Punjabi,Jakkur,250,3.6,150,"['North Indian', 'Chinese']"
Tango Sandwich King,Basaveshwara Nagar,200,3.6,12,"['Fast Food', 'Sandwich']"
Daniyal's,Marathahalli,800,3.6,185,"['North Indian', 'Biryani', 'Mughlai', 'Kebab']"
Hot Brixx,Marathahalli,500,3.6,23,"['Italian', 'Pizza']"
Popat Juice Junction,Ulsoor,200,3.6,4,"['Beverages', 'Juices']"
Hangout Cafe,HBR Layout,400,3.6,16,"['Cafe', 'Beverages']"
Thunder Fried Chicken,Jeevan Bhima Nagar,350,3.6,183,"['North Indian', 'Biryani', 'Mughlai', 'Rolls']"
Hotel Narmada,Sarjapur Road,500,3.6,14,"['Hyderabadi', 'Biryani', 'Andhra']"
Iyengar Tiffany's,Vijay Nagar,200,3.6,22,['South Indian']
Bismillah Bawarchi,Brookefield,300,3.6,46,"['North Indian', 'Chinese', 'Biryani']"
Food Square,Marathahalli,200,3.6,18,"['Fast Food', 'Chinese']"
Asharfilal,Bannerghatta Road,150,3.6,12,['Desserts']
Ember Grill,Yelahanka,550,3.6,80,"['North Indian', 'Chinese']"
AutoExpress -  Hot Dogs,Koramangala 4th Block,300,3.6,7,['Fast Food']
Boston Barista - Kappayum Curriyum,BTM,400,3.6,65,['Kerala']
Uphar Dharshni,Jayanagar,150,3.6,17,"['South Indian', 'North Indian']"
Moolehatti Donne Biryani Mane,HSR,400,3.6,223,"['Biryani', 'Chinese', 'North Indian', 'Kebab']"
Caffe Maven,Residency Road,300,3.6,26,"['Chinese', 'North Indian']"
Calcutta Victoria Chat House,Jeevan Bhima Nagar,150,3.6,219,['Street Food']
North Se South Veg & Non-Veg Restaurants,Banaswadi,250,3.6,18,"['South Indian', 'North Indian', 'Chinese']"
KafeKombos,HSR,300,3.6,17,"['North Indian', 'South Indian', 'Oriya']"
Sunny's Kitchen,HSR,500,3.6,63,"['North Indian', 'Chinese', 'American']"
Dakshin Kitchen,Basavanagudi,100,3.6,16,['South Indian']
The Delhiwala's Kitchen-Pure Veg,Brookefield,200,3.6,72,['North Indian']
Tea Bar,Residency Road,100,3.6,11,['Tea']
Haldiram's Express,Brigade Road,300,3.6,44,['North Indian']
Pulp Juice Bar,HSR,150,3.6,17,"['Beverages', 'Juices', 'Ice Cream']"
Noodle Oodle,Whitefield,400,3.6,14,[]
Cafe Black Pepper,Electronic City,200,3.6,14,['Fast Food']
Sizzles,Whitefield,800,3.6,12,"['North Indian', 'Chinese', 'Continental']"
Delhi's Essence,Electronic City,500,3.6,61,['North Indian']
Pallavas Veg Cuisine,Bannerghatta Road,600,3.6,55,"['North Indian', 'South Indian', 'Chinese']"
Sri Sri Tattva Panchamrut,Kanakapura Road,500,3.6,15,"['Fast Food', 'Beverages']"
B COOL CAFE,Yelahanka,300,3.6,11,"['Fast Food', 'Beverages']"
Hotel Fish Land,RT Nagar,600,3.6,26,"['South Indian', 'North Indian']"
Biryani Darbar,Electronic City,800,3.6,548,"['Biryani', 'Mughlai', 'North Indian']"
Best Brews - Four Points by Sheraton Bengaluru...,Four Points by Sheraton Bengaluru Whitefield,"1,500",3.6,28,['Continental']
Om's Cafe Prana,Koramangala 7th Block,300,3.6,17,"['Cafe', 'Fast Food']"
Meet Punjabi Restaurant,Jalahalli,300,3.6,21,['North Indian']
Durgashree Samruddhi Grand,Magadi Road,400,3.6,39,"['Chinese', 'South Indian', 'North Indian']"
Amaravathi Mess,Electronic City,400,3.6,111,"['Andhra', 'Biryani']"
Grand Spicy Restaurant,Cunningham Road,700,3.6,35,"['North Indian', 'Mughlai', 'Chinese']"
Salt N Pepper,Electronic City,500,3.6,77,"['North Indian', 'Chinese']"
Tandoori Cha,Marathahalli,100,3.6,8,"['Beverages', 'Tea', 'Street Food']"
Ambur Biriyani,Indiranagar,250,3.6,41,['Biryani']
Carnival Cakes & Breads,HSR,200,3.6,50,"['Bakery', 'Fast Food']"
Office Lunch Box,Whitefield,200,3.6,114,"['Andhra', 'North Indian']"
Matru Sagar,Banashankari,250,3.6,83,"['South Indian', 'North Indian', 'Chinese']"
Driven Cafe,Residency Road,600,3.6,123,"['Cafe', 'Beverages', 'Fast Food']"
Kabbu Sugar N Spice,Rajarajeshwari Nagar,100,3.6,23,['Juices']
R R Noodles Express,Marathahalli,300,3.6,64,['Chinese']
Bohra Bohra Café,JP Nagar,300,3.6,65,['Bohri']
Aura - Radha Regent,"Radha Regent Bengaluru, Electronic City","1,200",3.6,117,"['Continental', 'American', 'South Indian', 'Italian', 'North Indian', 'Chinese']"
Halli Mane  Mudde Oota,JP Nagar,300,3.6,16,['South Indian']
New Biriyani Darbar,RT Nagar,450,3.6,69,"['Biryani', 'South Indian', 'North Indian', 'Chinese']"
Chaitanya Grand,Bannerghatta Road,300,3.6,16,"['South Indian', 'North Indian', 'Chinese']"
Elegant Dining,Bannerghatta Road,700,3.6,227,"['Biryani', 'North Indian', 'Chinese']"
Lassi Corner,Basavanagudi,150,3.6,115,"['Beverages', 'Ice Cream']"
Uday Sweets,Koramangala 6th Block,250,3.6,35,"['Mithai', 'Fast Food']"
Danny Lambas Punjabi Dhaba,Indiranagar,600,3.6,99,"['North Indian', 'Chinese', 'Biryani']"
Juicy Momos,Banashankari,250,3.6,84,"['Tibetan', 'Momos']"
Indira Darshini,Frazer Town,200,3.6,18,['South Indian']
Sri Ganesh Fruit Juice Centre,Sahakara Nagar,100,3.6,22,['Juices']
Punjabi Raswada,Jayanagar,800,3.6,432,['North Indian']
Nieghbourhood Cafe,Whitefield,750,3.6,40,"['Pizza', 'Italian', 'Chinese', 'North Indian']"
Sri Krishna Sagar,Electronic City,300,3.6,14,"['South Indian', 'North Indian']"
Appetite Workstation,Sarjapur Road,500,3.6,17,"['North Indian', 'Chinese', 'Biryani']"
Sasu Maa Ki Rasoi,Sarjapur Road,300,3.6,96,"['North Indian', 'Chinese']"
Vietnamese Kitchen,Banashankari,700,3.6,111,['Vietnamese']
Mark,HSR,500,3.6,39,"['Andhra', 'Fast Food']"
RA Caterers And Hotel,Kengeri,200,3.6,13,"['Kebab', 'Biryani', 'South Indian']"
The House Of Paratha,Koramangala 5th Block,200,3.6,76,['North Indian']
Windy- Taste Of Home,Whitefield,300,3.6,113,['North Indian']
Pizbur Trap,Kammanahalli,400,3.6,12,"['American', 'Burger', 'Momos', 'Bengali']"
Donne Biryani Center,Yelahanka,250,3.6,32,"['Biryani', 'Andhra']"
Cake Chemistry,Jayanagar,500,3.6,16,"['Bakery', 'Desserts']"
Indian Spice Foods Family Restaurant,CV Raman Nagar,350,3.6,33,"['North Indian', 'Chinese', 'Fast Food']"
Sri Venkateshwara Chat Centre,Banashankari,100,3.6,14,['Street Food']
Sri Sai Mango Tree Restaurant,Bellandur,600,3.6,338,"['North Indian', 'Biryani', 'Chinese']"
Al- Lazeez,Jalahalli,350,3.6,40,"['North Indian', 'Chinese', 'Fast Food']"
Kalmane Koffees,"Garuda Mall, Magrath Road",350,3.6,47,['Cafe']
New Sagar Fast Food,Banashankari,250,3.6,73,"['North Indian', 'South Indian']"
Al Asala Hotel,Kumaraswamy Layout,300,3.6,17,['Arabian']
Hotel Crossroads,Marathahalli,650,3.6,88,"['Andhra', 'Biryani']"
Hot Burg,Bannerghatta Road,200,3.6,29,"['Fast Food', 'Juices']"
UP Style North Indian Food,Jayanagar,100,3.6,48,['North Indian']
The Urban Roof,Kalyan Nagar,800,3.6,80,"['Italian', 'Chinese', 'Continental']"
Mummy's Kitchen,Old Airport Road,300,3.6,17,"['North Indian', 'Biryani', 'Chinese']"
Aadvik Nightfood,Frazer Town,350,3.6,23,['Fast Food']
Madurai Meenakshi Vilas,Bellandur,300,3.6,27,['South Indian']
Fill A Belly Restaurant,Sarjapur Road,300,3.6,33,"['North Indian', 'Chinese', 'Fast Food']"
Smokie Kitchen,RT Nagar,200,3.6,16,['Chinese']
Ilyazsab Shawarma Cafe,BTM,300,3.6,29,"['Fast Food', 'Rolls']"
CAMP TANDOOR,"Skywalk, Ulsoor",300,3.6,17,['North Indian']
Hotel New Panchavati,Vijay Nagar,600,3.6,121,"['North Indian', 'Chinese', 'Biryani', 'South Indian']"
Aarti Paratha & Rolls Corner,New BEL Road,200,3.6,15,"['North Indian', 'Fast Food']"
Restaurant Ashwa,Nagarbhavi,400,3.6,342,"['North Indian', 'Biryani', 'Chinese', 'South Indian']"
Paradise Pool Side Restaurant,Rajarajeshwari Nagar,900,3.6,37,"['North Indian', 'Chinese']"
Sri Krishna Delicacy,RT Nagar,300,3.6,53,"['North Indian', 'Chinese', 'South Indian', 'Street Food']"
V-One Fast Food,Rammurthy Nagar,200,3.6,14,"['Chinese', 'Fast Food']"
The Blue Bawarchi,Nagawara,300,3.6,35,"['Chinese', 'Oriya', 'North Indian', 'Bengali']"
Cafe Ritzz,Indiranagar,700,3.6,41,"['North Indian', 'Chinese']"
New Sagar Fast Food,Rajajinagar,450,3.6,68,"['South Indian', 'North Indian']"
Dwarka,Peenya,700,3.6,31,"['Andhra', 'Chinese', 'North Indian']"
Chicken Park,Nagarbhavi,400,3.6,31,"['Chinese', 'North Indian']"
A1 Garam Masala,Kanakapura Road,500,3.6,27,"['North Indian', 'Andhra', 'Chinese']"
Triveni,Bannerghatta Road,600,3.6,36,"['Andhra', 'North Indian', 'Chinese']"
Anjan Bhel Corner,Banashankari,100,3.6,11,['Street Food']
Lluvia Bakery,Sarjapur Road,350,3.6,12,['Bakery']
Foodizo,Banashankari,300,3.6,25,"['Desserts', 'Fast Food', 'Continental']"
Karavali Kolimane,Wilson Garden,350,3.6,30,"['Mangalorean', 'Chinese', 'North Indian']"
Jayanagara Donne Biryani,Jayanagar,400,3.6,65,"['Biryani', 'South Indian']"
Basmati's Briyani Nation,Whitefield,400,3.6,21,"['Biryani', 'Fast Food']"
Nandasree,KR Puram,600,3.6,18,"['North Indian', 'Chinese', 'Andhra']"
Strona - The Fern Residency,The Fern Residency,"1,200",3.6,44,"['Continental', 'Finger Food', 'North Indian']"
B & B The Pub,Basavanagudi,"1,000",3.6,30,"['Asian', 'Continental']"
LK Royal Gardenia,International Airport,700,3.6,20,"['South Indian', 'North Indian']"
The Lassi Point,Jayanagar,150,3.6,13,['Beverages']
Tarama Kolkata Fast Food,Yeshwantpur,250,3.6,15,"['Street Food', 'Fast Food']"
S Square Family Restaurant,Bannerghatta Road,500,3.6,29,"['North Indian', 'Chinese']"
The Terrace Tandoor & Grill Restaurant,Fortune Park JP Celestial,"1,200",3.6,32,"['North Indian', 'Continental']"
Luna Sweets,Frazer Town,100,3.6,20,"['Mithai', 'Street Food']"
Rolls On Wheels,Banashankari,300,3.6,310,"['Fast Food', 'Rolls', 'Momos']"
Rafees Biryani,Koramangala 5th Block,600,3.6,29,"['Biryani', 'North Indian', 'Desserts']"
Nila Cafe,Bommanahalli,400,3.6,17,"['Kerala', 'South Indian']"
Udupi South Saviruchi,Jalahalli,250,3.6,17,"['South Indian', 'North Indian', 'Chinese', 'Street Food']"
Bhukti Family Restaurant,International Airport,800,3.6,56,"['Andhra', 'Chinese', 'North Indian']"
Gundappa Donne Biriyani,Nagawara,300,3.6,33,"['Biryani', 'North Indian']"
Udupi South Saviruchi,Jalahalli,250,3.6,17,"['South Indian', 'North Indian', 'Chinese', 'Street Food']"
Hotel Gurukrupa Bhats Canteen,Peenya,200,3.6,15,['South Indian']
Udupi Upahara,Koramangala 1st Block,300,3.6,48,"['South Indian', 'North Indian']"
Nisarga Garden,International Airport,600,3.6,17,"['Chinese', 'North Indian', 'Andhra']"
Gyani Chats and Juice,HSR,200,3.6,17,"['Street Food', 'Juices']"
Mayura Grand,Koramangala 6th Block,400,3.6,21,"['South Indian', 'North Indian']"
Ginger,Sanjay Nagar,350,3.6,160,"['North Indian', 'Chinese']"
Bharanis,Domlur,600,3.6,17,"['Andhra', 'Biryani']"
Hungrill Barbeque,Kaggadasapura,300,3.6,15,"['BBQ', 'Rolls']"
Getaway Cafe,Hebbal,300,3.6,45,['Cafe']
Calcutta Diaries,Rammurthy Nagar,450,3.6,127,"['Bengali', 'Chinese', 'Mughlai']"
Aaccord Restaurant,BTM,600,3.6,7,"['Continental', 'North Indian', 'Chinese']"
The Charcoal,Vijay Nagar,900,3.6,479,"['Chinese', 'BBQ', 'Seafood']"
Pandit Ji Sweets & Namkeen,Electronic City,300,3.6,15,"['Mithai', 'Street Food']"
Chilli Flakes,Banashankari,500,3.6,49,"['Fast Food', 'Italian', 'Beverages']"
Mudaliar's Kitchen,Frazer Town,500,3.6,15,['South Indian']
Annapoorna Andhra Restaurant,Hebbal,400,3.6,64,"['Andhra', 'Biryani', 'Chinese']"
Eat Well,Banaswadi,400,3.6,117,['North Indian']
Sri Gurudev Darshini,HSR,150,3.6,14,['South Indian']
Maashpacheez,Marathahalli,300,3.6,18,"['North Indian', 'Chinese', 'South Indian']"
Ooty Chocolates,Whitefield,300,3.6,17,['Desserts']
Kabab Mirchi,Marathahalli,350,3.6,106,"['North Indian', 'Mughlai', 'Chinese']"
Bangarpet Chats,Rajarajeshwari Nagar,100,3.6,20,['Street Food']
Donne Biriyani House,Jayanagar,400,3.6,416,"['Biryani', 'Andhra', 'Kebab']"
Havmor,JP Nagar,200,3.6,23,"['Ice Cream', 'Desserts']"
Hot Pot,CV Raman Nagar,300,3.6,33,"['South Indian', 'North Indian', 'Chinese']"
Maa Durga Fast Food,Koramangala 8th Block,200,3.6,22,"['North Indian', 'Chinese']"
Thalassery Restaurant,Bellandur,600,3.6,719,"['Seafood', 'Biryani', 'South Indian', 'North Indian', 'Chinese', 'Arabian', 'Kebab', 'Kerala']"
Kisna Cafe,Old Airport Road,300,3.6,12,"['South Indian', 'North Indian']"
Serranos Mexican Grill,Nagawara,400,3.6,89,"['Mexican', 'Fast Food']"
La-Pizza,Marathahalli,450,3.6,150,"['Italian', 'Pizza', 'Burger']"
Kabsa House,Kalyan Nagar,500,3.6,24,['North Indian']
Iyengar Bakery,Jayanagar,200,3.6,29,"['Bakery', 'Fast Food', 'Desserts', 'Beverages']"
Nandi Chats and Juice,Banashankari,150,3.6,48,['Street Food']
Punjabi Tandoor,Kaggadasapura,700,3.6,257,"['North Indian', 'Chinese']"
Art Blend Cafe,HSR,900,3.6,931,"['Cafe', 'Continental', 'Chinese']"
Rolls Corner,Yelahanka,200,3.6,12,['Rolls']
Hunger Night King,Koramangala 2nd Block,400,3.6,115,"['North Indian', 'Chinese']"
Banashankari Nati Style,JP Nagar,300,3.6,9,['South Indian']
Kolkata King,Basavanagudi,300,3.6,7,"['Fast Food', 'Rolls']"
Venkateshwara Sweets and Restaurant,JP Nagar,400,3.6,43,"['South Indian', 'Mithai', 'Chinese', 'North Indian']"
Nammura Upachara,Basaveshwara Nagar,300,3.6,42,"['South Indian', 'North Indian', 'Chinese']"
Sarvam,HSR,550,3.6,125,"['South Indian', 'Chettinad', 'Chinese', 'North Indian', 'Andhra', 'Seafood']"
Take EAT Easy,Sarjapur Road,200,3.6,20,['North Indian']
The Feast Fries,Kalyan Nagar,200,3.6,21,['Fast Food']
Cool Junction,Nagarbhavi,200,3.6,46,"['Juices', 'Beverages', 'Street Food']"
Matsya Loka,Nagawara,400,3.6,153,['Seafood']
Ginger & Garlic,Brookefield,350,3.6,93,"['South Indian', 'North Indian', 'Chinese']"
Just Sandwiches,BTM,100,3.6,13,['Sandwich']
Greenland Restaurant,Jalahalli,150,3.6,16,['North Indian']
Sri Krishna Grand,Yelahanka,350,3.5,12,"['South Indian', 'North Indian', 'Chinese']"
E - City Combos,Electronic City,350,3.5,7,"['South Indian', 'North Indian', 'Chinese', 'Biryani']"
Udupi Ruchi,Kaggadasapura,250,3.5,6,"['South Indian', 'North Indian', 'Chinese']"
Thalassery Cafe,BTM,150,3.5,9,['Street Food']
Chels Cafe,Cunningham Road,500,3.5,20,"['Cafe', 'Burger']"
South Side Grill,HSR,600,3.5,14,"['Mughlai', 'North Indian', 'Andhra']"
Kusum Rolls,New BEL Road,300,3.5,21,['Street Food']
Sri Krishna Veg,Basavanagudi,100,3.5,4,['South Indian']
Flamin Grill,Bellandur,600,3.5,10,"['Lebanese', 'Turkish', 'BBQ', 'Burger']"
Hotel Taj Delight,Jalahalli,600,3.5,29,"['North Indian', 'Chinese', 'Mughlai', 'Biryani']"
Kotian Karavali Restaurant,Banashankari,300,3.5,10,"['South Indian', 'Biryani']"
Kolkata Famous Kati Roll,JP Nagar,200,3.5,13,"['Rolls', 'Chinese']"
Samrudh Veg,Cunningham Road,200,3.5,12,"['South Indian', 'Chinese']"
Foodbowl,International Airport,800,3.5,15,"['South Indian', 'North Indian', 'Continental']"
New Udupi Anand Bhavan,Basavanagudi,150,3.5,5,['South Indian']
Kaka Food Corner,Whitefield,300,3.5,95,['North Indian']
Velvet Kitchen,Bannerghatta Road,600,3.5,15,"['North Indian', 'Chinese']"
Burj Hotel,Bannerghatta Road,350,3.5,68,"['North Indian', 'Chinese']"
Deccan Spice,JP Nagar,750,3.5,65,"['North Indian', 'South Indian', 'Biryani']"
Hotel Rajesh,Sadashiv Nagar,350,3.5,9,['South Indian']
Burrito Boys,Kempegowda International Airport,450,3.5,8,['Mexican']
Bangalore Bytes,Brigade Road,300,3.5,121,"['Fast Food', 'South Indian', 'Biryani']"
Create Cafe,Rajajinagar,300,3.5,12,['Italian']
Grand Vezier Restaurant,Jalahalli,600,3.5,11,"['Turkish', 'European', 'North Indian', 'Fast Food']"
Neer Dose Fish Land,Domlur,250,3.5,8,"['South Indian', 'North Indian', 'Seafood']"
Malabar Food Court,HBR Layout,300,3.5,10,"['Kerala', 'South Indian']"
Prabhu Sweets,Rajajinagar,250,3.5,11,"['Mithai', 'Street Food']"
Mr. Meow's Hotdogs,"Eat Street, Koramangala 6th Block",300,3.5,7,['Fast Food']
Diletto,Bannerghatta Road,800,3.5,16,"['North Indian', 'Chinese']"
Mast Biryani - Fresh Indian Kitchen,Marathahalli,500,3.5,255,"['Biryani', 'North Indian', 'Mughlai', 'Fast Food']"
Ashirwad Grand,Jalahalli,600,3.5,34,"['Chinese', 'North Indian', 'South Indian']"
Surya Mane Holige,RT Nagar,100,3.5,4,"['South Indian', 'Kerala']"
Bite and Pipes,Kammanahalli,500,3.5,13,"['Continental', 'Chinese']"
Swasthaa,Sanjay Nagar,650,3.5,13,"['Continental', 'Italian', 'Japanese', 'North Indian']"
Malabar Restaurant,Yelahanka,200,3.5,14,"['Kerala', 'Chinese']"
Khan Saheb Grills and Rolls,Kalyan Nagar,400,3.5,47,"['Fast Food', 'Rolls']"
Snackiey,Bannerghatta Road,250,3.5,11,['North Indian']
Delicious Desserts,Whitefield,750,3.5,10,['Desserts']
Oak Tavern,"Palm Meadows Club, Whitefield","1,000",3.5,9,"['Continental', 'North Indian']"
Basaveshwara Khanavali,Marathahalli,400,3.5,6,['South Indian']
Snack'Ups,Thippasandra,250,3.5,65,['Fast Food']
Maduri Naidu Mess,CV Raman Nagar,200,3.5,9,['South Indian']
Halli Delhi,"Varthur Main Road, Whitefield",300,3.5,13,"['North Indian', 'South Indian']"
Sandwich Jn,Electronic City,300,3.5,10,"['Fast Food', 'Beverages']"
New Royal Kitchen,Hebbal,400,3.5,13,"['North Indian', 'Mughlai', 'Chinese']"
Aalishan Restaurant & Caterer,Koramangala 7th Block,650,3.5,890,"['North Indian', 'Mughlai']"
Ande Ka Funda,BTM,200,3.5,28,['North Indian']
Kitchens of Hyderabad,Hebbal,450,3.5,13,"['Hyderabadi', 'Chinese', 'North Indian']"
Flavours Hut,HSR,550,3.5,16,"['Kerala', 'North Indian', 'Chinese', 'Seafood']"
South Side Grill,HSR,600,3.5,14,"['Mughlai', 'North Indian', 'Andhra']"
KL-58 Thalassery Cafe,New BEL Road,200,3.5,14,['Kerala']
Delhi Chaats,Rajarajeshwari Nagar,300,3.5,11,"['North Indian', 'Street Food']"
Ningi Family Restaurant,JP Nagar,400,3.5,10,"['South Indian', 'Biryani', 'Chinese']"
Pathy's Kitchen,Indiranagar,500,3.5,21,['Andhra']
Samba Shake N Juice,Sanjay Nagar,200,3.5,13,"['Fast Food', 'Juices']"
Thalaserry Food Court,Whitefield,600,3.5,22,"['Kerala', 'Biryani', 'Seafood', 'North Indian', 'Chinese']"
Aahara Vihar,Malleshwaram,300,3.5,13,"['South Indian', 'North Indian', 'Chinese']"
Shringar Sweets & Snacks,Basavanagudi,200,3.5,11,"['Mithai', 'South Indian', 'Street Food', 'Fast Food']"
CupcakesNSyrups,Banaswadi,300,3.5,9,['Bakery']
Lassi Corner,Nagawara,200,3.5,11,"['Cafe', 'Ice Cream', 'Juices', 'Sandwich']"
FrostBite,Koramangala 5th Block,400,3.5,15,"['Desserts', 'Fast Food']"
Paratha Xpress,Ulsoor,200,3.5,8,"['North Indian', 'Chinese']"
