rest_index,rest_name,locality,cost_for_two,rating,votes,score,cuisines
73,Republic Of Noodles - Lemon Tree Premier,"Lemon Tree Premier, Ulsoor","1,800",4.5,564,4.444,"['Malaysian', 'Singaporean', 'Thai']"
111,Feast - Sheraton Grand Bengaluru Whitefield Hotel &...,"Sheraton Grand Bengaluru, Whitefield","2,500",4.5,530,4.44,"['Continental', 'Asian', 'South Indian', 'North Indian']"
96,Avista Cafe Pizzeria,Hennur,650,4.5,514,4.439,"['Cafe', 'Italian']"
103,Sea Rock,Seshadripuram,"1,000",4.5,519,4.439,"['Mangalorean', 'Seafood', 'South Indian', 'North Indian', 'Chinese', 'Mughlai']"
107,IceBreakers,Koramangala 6th Block,500,4.5,513,4.439,"['Desserts', 'Ice Cream']"
101,ShakesBierre,Brigade Road,"1,500",4.5,483,4.435,"['Asian', 'Continental', 'European', 'North Indian']"
63,Nakkshatra,Marathahalli,900,4.5,453,4.431,"['North Indian', 'Chinese']"
60,Hunger Camp,JP Nagar,"1,300",4.5,386,4.42,"['North Indian', 'South Indian', 'Chinese', 'Seafood']"
66,99 Pancakes,Koramangala 5th Block,300,4.5,360,4.415,"['Desserts', 'Beverages', 'Cafe', 'Ice Cream']"
46,Via Milano,Sarjapur Road,"1,500",4.6,161,4.411,"['Italian', 'Pizza', 'Salad', 'Desserts']"
114,Shao - Radisson Blu,"Radisson Blu, Marathahalli","3,000",4.5,315,4.404,"['Thai', 'Japanese', 'Chinese']"
226,The 13th Floor,Barton Centre,"1,700",4.4,4630,4.394,"['Asian', 'North Indian', 'Thai']"
198,Vidyarthi Bhavan,Basavanagudi,150,4.4,4500,4.393,['South Indian']
230,Brooks and Bonds Brewery,Koramangala 5th Block,"1,600",4.4,4166,4.393,"['Continental', 'Mediterranean', 'North Indian', 'Chinese', 'Finger Food']"
206,Sotally Tober,Koramangala 4th Block,"1,200",4.4,4181,4.393,"['Asian', 'Burger', 'Pizza', 'Chinese', 'Finger Food']"
208,Jalsa Gold,"D and N Enterprises, Marathahalli","1,300",4.4,3529,4.392,"['North Indian', 'Mughlai', 'Italian']"
188,Delhi Highway,Indiranagar,"1,500",4.4,3520,4.392,"['North Indian', 'Mughlai']"
202,Soda Bottle Opener Wala,Lavelle Road,"1,300",4.4,3761,4.392,"['Parsi', 'North Indian']"
210,Float,"D and N Enterprises, Marathahalli","1,500",4.4,3168,4.391,"['North Indian', 'Japanese']"
214,Sidewalk - The Garden Bar,Marathahalli,"1,300",4.4,3143,4.391,"['North Indian', 'Continental', 'Chinese', 'Thai']"
241,Karama Restaurant,Frazer Town,750,4.4,2989,4.39,"['Arabian', 'North Indian', 'Beverages']"
229,Phobidden Fruit,Indiranagar,"1,100",4.4,2970,4.39,"['Vietnamese', 'Salad']"
158,Matteo Coffea,Church Street,600,4.4,2662,4.389,['Cafe']
133,Mamagoto,Indiranagar,"1,600",4.4,2596,4.389,"['Asian', 'Thai', 'Chinese', 'BBQ', 'Momos']"
232,Bombay Adda,Koramangala 7th Block,"1,100",4.4,2749,4.389,['Modern Indian']
240,Shivaji Military Hotel,Jayanagar,450,4.4,2593,4.389,"['South Indian', 'Biryani']"
187,Nasi And Mee,Koramangala 4th Block,"1,000",4.4,2420,4.388,"['Malaysian', 'Thai', 'Singaporean', 'Asian', 'Chinese', 'Momos']"
235,Brewklyn Microbrewery,Kalyan Nagar,"2,000",4.4,2396,4.388,"['American', 'Continental', 'Pizza']"
220,Farzi Cafe,UB City,"1,500",4.4,2451,4.388,['Modern Indian']
215,Deja Vu Resto Bar,"Gopalan Innovation Mall, Bannerghatta",900,4.4,2542,4.388,"['North Indian', 'Italian']"
186,Shiro,UB City,"3,000",4.4,2252,4.387,"['Japanese', 'Asian']"
166,Chavadi,Bannerghatta Road,"1,200",4.4,2296,4.387,"['Continental', 'North Indian', 'Pizza', 'Italian']"
162,Millers 46,Vasanth Nagar,"1,100",4.4,2288,4.387,"['American', 'Continental', 'Steak']"
145,Salt - Indian Restaurant - Bar & Grill,"VR Bengaluru, Whitefield","1,500",4.4,2096,4.386,['North Indian']
191,The Yellow Submarine,Bannerghatta Road,"1,200",4.4,2190,4.386,"['Continental', 'North Indian', 'Chinese', 'Pizza', 'Thai']"
172,JW Kitchen - JW Marriott Bengaluru,"JW Marriott Bengaluru, Lavelle Road","2,200",4.4,2155,4.386,"['North Indian', 'Continental', 'Italian']"
154,Once Upon A Flame,HSR,"1,200",4.4,2122,4.386,"['Steak', 'Continental', 'Burger', 'BBQ']"
136,Fava,UB City,"1,200",4.4,2070,4.386,"['Healthy Food', 'Mediterranean', 'Desserts', 'Italian', 'Pizza', 'Salad', 'Kebab']"
201,Bombay Brasserie,Indiranagar,"1,800",4.4,1932,4.385,['Modern Indian']
212,Red Rhino,Whitefield,"1,700",4.4,2004,4.385,"['Continental', 'Mediterranean', 'South Indian', 'North Indian', 'Asian']"
157,Art of Delight,Residency Road,400,4.4,1923,4.385,"['Ice Cream', 'Desserts', 'Beverages']"
177,Hari Super Sandwich,Jayanagar,200,4.4,1843,4.384,"['Fast Food', 'Street Food']"
