rest_index,rest_name,locality,cost_for_two,rating,votes,cuisines
7063,Krupa Sagar,Koramangala 5th Block,300,3.2,4,"['North Indian', 'South Indian', 'Chinese', 'Street Food']"
7064,Dream Coffee House,Malleshwaram,300,3.2,6,"['Cafe', 'Bakery']"
7065,Ultra Biriyani Paradise,Sarjapur Road,300,3.2,4,['Biryani']
7066,Body Temple,BTM,500,3.2,11,['Healthy Food']
7067,Dosa Time,Sarjapur Road,150,3.2,4,['South Indian']
7068,Mallige,"Hotel Paraag, Race Course Road",700,3.2,5,"['North Indian', 'South Indian']"
7069,Shri Durgaparmeshwari Chats,Yelahanka,200,3.2,5,['Street Food']
7070,Mulabagilu Dose,Basavanagudi,150,3.2,11,['South Indian']
7071,Impala Biryani,JP Nagar,150,3.2,4,"['Biryani', 'North Indian']"
7072,Burger Crush,Sarjapur Road,500,3.2,4,['Fast Food']
7073,Keshava Kabab Centre,JP Nagar,200,3.2,7,['North Indian']
7074,Vogga's Food Court,RT Nagar,300,3.2,5,"['North Indian', 'Chinese', 'Arabian']"
7075,Kofabell,Marathahalli,500,3.2,4,['North Indian']
7076,A1 Ambur Dum Biryani And Parota Centre,Basaveshwara Nagar,300,3.2,4,['Biryani']
7077,Cool Point,Koramangala 5th Block,100,3.2,7,"['Juices', 'Fast Food']"
7078,Aarya Family Restaurant,Kengeri,400,3.2,4,"['South Indian', 'Seafood']"
7079,Purani Dilli,HSR,300,3.2,4,"['North Indian', 'Chinese']"
7080,North Rasoe,Kumaraswamy Layout,250,3.2,10,"['North Indian', 'Chinese']"
7081,Abhi Kabab Corner,Jalahalli,400,3.2,474,"['North Indian', 'Chinese']"
7082,Cheffie,Electronic City,200,3.2,4,['Fast Food']
7083,Gharwaalatiffin,Rajarajeshwari Nagar,500,3.2,5,"['North Indian', 'Chinese', 'Biryani', 'Street Food']"
7084,Vov Shawarma,Electronic City,200,3.2,6,['Fast Food']
7085,Donne Biryani Mane,Jalahalli,300,3.2,4,"['Biryani', 'Kebab']"
7086,Pathumma`s Kitchen,Electronic City,200,3.2,7,['North Indian']
7087,The Chaat Shop,BTM,100,3.2,9,['Street Food']
